"symbol","date","open","high","low","close","volume","adjusted"
"AAP",2021-01-26,160.009995,160.110001,156.559998,157.630005,824700,152.739532
"AAP",2021-01-27,152.649994,154.449997,143.149994,147.929993,3368300,143.340469
"AAP",2021-01-28,149.619995,154.669998,148.5,153.339996,1634500,148.582626
"AAP",2021-01-29,153,154.550003,148.279999,149.139999,1292800,144.512939
"AAP",2021-02-01,151.130005,155.5,150.029999,150.970001,1671700,146.286148
"AAP",2021-02-02,151.869995,156.580002,151.080002,154.080002,1569200,149.299667
"AAP",2021-02-03,155.110001,156.330002,152.139999,155.279999,1226900,150.462433
"AAP",2021-02-04,156.529999,159.539993,155.509995,158.479996,852700,153.563156
"AAP",2021-02-05,159.979996,160.25,156.5,157.279999,877900,152.400391
"AAP",2021-02-08,158.380005,160.020004,157.559998,158.440002,957800,153.524399
"AAP",2021-02-09,158,162.139999,157.399994,160.669998,709300,155.685196
"AAP",2021-02-10,161.770004,163.5,158.399994,161.860001,974200,156.838272
"AAP",2021-02-11,161,161.779999,154.070007,154.460007,1538400,149.667877
"AAP",2021-02-12,154.949997,155.669998,152.660004,152.809998,847100,148.069077
"AAP",2021-02-16,151.009995,157.990005,151.009995,155.509995,1932900,150.685287
"AAP",2021-02-17,154.820007,162.929993,154.429993,161.820007,1590600,156.799545
"AAP",2021-02-18,160.020004,167.679993,159.710007,167.550003,1584500,162.351761
"AAP",2021-02-19,167.550003,167.669998,164.050003,165.979996,918300,160.83046
"AAP",2021-02-22,165.130005,169.309998,164.5,167.699997,957900,162.497101
"AAP",2021-02-23,169.410004,169.410004,163.850006,166.190002,906200,161.033966
"AAP",2021-02-24,166.940002,167.100006,163.460007,166.149994,948800,160.995209
"AAP",2021-02-25,166.529999,166.679993,160.050003,160.669998,872200,155.685196
"AAP",2021-02-26,162.360001,163.309998,160.029999,160.350006,951600,155.375137
"AAP",2021-03-01,162.130005,163.740005,161.770004,162.660004,814500,157.613464
"AAP",2021-03-02,163.130005,166.25,161.190002,164.839996,847400,159.725815
"AAP",2021-03-03,164.190002,169.080002,164.149994,165.830002,757500,160.685135
"AAP",2021-03-04,165.889999,167.830002,162.440002,165.539993,862700,160.404114
"AAP",2021-03-05,167.039993,172.110001,165.229996,171.509995,817200,166.188889
"AAP",2021-03-08,172.520004,177.699997,171.949997,176.5,1330700,171.024094
"AAP",2021-03-09,178.009995,178.360001,172.929993,173.050003,1141600,167.681122
"AAP",2021-03-10,173.990005,177.25,170.910004,176.339996,1014600,170.869049
"AAP",2021-03-11,176.339996,177.440002,173.369995,173.639999,850300,168.252838
"AAP",2021-03-12,174.139999,179.75,173.649994,179.580002,1040900,174.00853
"AAP",2021-03-15,179.059998,181.830002,178.190002,181.690002,961600,176.05307
"AAP",2021-03-16,182.589996,182.880005,177.220001,179.110001,987300,173.553101
"AAP",2021-03-17,180.770004,183.089996,178.990005,181.960007,1094600,176.314697
"AAP",2021-03-18,181.139999,184.910004,181.139999,183.729996,862400,178.274704
"AAP",2021-03-19,182.050003,187.179993,181.449997,186,1818900,180.477295
"AAP",2021-03-22,185.020004,187.330002,180.020004,182.990005,900800,177.556686
"AAP",2021-03-23,182.869995,185.130005,179.029999,179.529999,802400,174.199417
"AAP",2021-03-24,179.529999,183.720001,179.529999,181.729996,812900,176.334091
"AAP",2021-03-25,180.479996,186.509995,179.5,185.649994,627900,180.137711
"AAP",2021-03-26,186.789993,187.679993,184.830002,187.320007,804400,181.758133
"AAP",2021-03-29,187.479996,187.910004,183.979996,185.059998,862500,179.565231
"AAP",2021-03-30,185.360001,186.919998,182.470001,186.070007,631000,180.545227
"AAP",2021-03-31,186.690002,186.770004,183.490005,183.490005,729900,178.041824
"AAP",2021-04-01,183.25,186.789993,181.570007,185.960007,829000,180.438507
"AAP",2021-04-05,187.5,187.800003,182.279999,183.229996,998300,177.789551
"AAP",2021-04-06,181.259995,184.470001,180.679993,183.649994,901400,178.197083
"AAP",2021-04-07,184.490005,184.729996,181.050003,182.619995,443900,177.197678
"AAP",2021-04-08,183.050003,183.050003,179.600006,180.5,546200,175.140625
"AAP",2021-04-09,182.160004,184.460007,181.240005,183.970001,831000,178.507584
"AAP",2021-04-12,184.050003,188.529999,184.050003,188.059998,613600,182.476151
"AAP",2021-04-13,188.770004,188.910004,185.440002,187.410004,632300,181.845474
"AAP",2021-04-14,187.470001,189.490005,187.100006,187.770004,765900,182.194748
"AAP",2021-04-15,188.289993,190.199997,188.089996,189.460007,609300,183.834564
"AAP",2021-04-16,191.279999,193.169998,190.550003,192.919998,677500,187.191833
"AAP",2021-04-19,193.589996,196.169998,192.350006,192.539993,869200,186.823135
"AAP",2021-04-20,198,198.520004,190.910004,193.910004,1772900,188.152451
"AAP",2021-04-21,194.449997,202.539993,194.449997,199.869995,1220800,193.935486
"AAP",2021-04-22,199,201.119995,197.149994,200.300003,983100,194.352722
"AAP",2021-04-23,200.979996,201.389999,197.270004,199.75,519700,193.819061
"AAP",2021-04-26,199.070007,199.490005,196.320007,197.139999,497700,191.28653
"AAP",2021-04-27,198.559998,199.160004,197.059998,197.279999,578400,191.422394
"AAP",2021-04-28,196.970001,199.270004,196.130005,197.630005,516700,191.762009
"AAP",2021-04-29,200,201.539993,198.190002,200.679993,750300,194.721436
"AAP",2021-04-30,199.889999,202.470001,199.110001,200.160004,544700,194.216873
"AAP",2021-05-03,201.339996,203.630005,201.339996,201.860001,780700,195.866394
"AAP",2021-05-04,205.009995,205.199997,201.970001,204.149994,714500,198.088409
"AAP",2021-05-05,204.110001,204.820007,200.649994,202.809998,832400,196.788162
"AAP",2021-05-06,204.190002,204.880005,202.070007,204.160004,513700,198.098114
"AAP",2021-05-07,202.899994,204.979996,202.880005,204.470001,392500,198.398895
"AAP",2021-05-10,204.809998,210.179993,204.809998,208.589996,999600,202.396561
"AAP",2021-05-11,207.929993,207.940002,201.830002,204.210007,741200,198.146637
"AAP",2021-05-12,204.75,205.910004,201.270004,201.789993,735400,195.798477
"AAP",2021-05-13,201.270004,205.009995,199.630005,204.5,479300,198.428009
"AAP",2021-05-14,205.759995,206.460007,201.139999,202.809998,602500,196.788162
"AAP",2021-05-17,203.910004,204.759995,202.009995,204.580002,825300,198.505646
"AAP",2021-05-18,204.619995,204.830002,199.990005,200.039993,800800,194.100433
"AAP",2021-05-19,199.029999,199.660004,191.669998,194.580002,1973200,188.802567
"AAP",2021-05-20,194.699997,197.990005,193.110001,196.949997,980500,191.102173
"AAP",2021-05-21,197.520004,198.5,194.190002,194.940002,707200,189.151871
"AAP",2021-05-24,194.919998,194.929993,190.509995,190.649994,1085500,184.989243
"AAP",2021-05-25,191.470001,191.940002,187.160004,188,1146400,182.417923
"AAP",2021-05-26,188.539993,189.520004,187.419998,189.009995,716100,183.397934
"AAP",2021-05-27,189.850006,190.279999,187.5,188.639999,1011600,183.038925
"AAP",2021-05-28,189.559998,191.449997,188.639999,189.729996,702500,184.096542
"AAP",2021-06-01,191.5,195.350006,190.089996,194.649994,1884200,188.870483
"AAP",2021-06-02,195.770004,198,191.039993,191.330002,1605400,185.649063
"AAP",2021-06-03,190.789993,192.800003,188.960007,191.139999,918300,185.464706
"AAP",2021-06-04,191.559998,193.059998,188.789993,192.759995,681800,187.036591
"AAP",2021-06-07,193.759995,195.279999,191.320007,193.009995,1111500,187.27916
"AAP",2021-06-08,193.369995,198.75,193.369995,197.869995,1305700,191.994873
"AAP",2021-06-09,197.509995,198.860001,195.679993,197.029999,871300,191.17981
"AAP",2021-06-10,197.369995,197.970001,194.100006,195.850006,925900,190.034851
"AAP",2021-06-11,196.350006,200.550003,196.149994,199.440002,812800,193.51825
"AAP",2021-06-14,199.059998,200.940002,197.919998,198.589996,793900,192.693497
"AAP",2021-06-15,199.240005,200.690002,198.070007,200.660004,1136300,194.702026
"AAP",2021-06-16,200.289993,200.759995,196.729996,196.919998,823800,191.07309
"AAP",2021-06-17,197.350006,197.559998,193.229996,194.389999,1220700,189.580933
"AAP",2021-06-18,191.720001,194.259995,191.399994,193.330002,1006300,188.54715
"AAP",2021-06-21,195.5,199.240005,194.759995,198.470001,591600,193.559998
"AAP",2021-06-22,199.059998,201.039993,197.419998,200.039993,448300,195.091141
"AAP",2021-06-23,200,201.729996,199.699997,200.710007,699400,195.744583
"AAP",2021-06-24,200.710007,201.830002,199.460007,200.960007,527200,195.988388
"AAP",2021-06-25,202.169998,205.460007,202,204.429993,675000,199.372543
"AAP",2021-06-28,204.070007,204.589996,202.25,204.509995,548000,199.450562
"AAP",2021-06-29,205,207.160004,204.289993,205.300003,574600,200.221039
"AAP",2021-06-30,206.220001,207.600006,204.149994,205.139999,569500,200.064987
"AAP",2021-07-01,205.809998,209.179993,204.830002,208.940002,611300,203.770981
"AAP",2021-07-02,208.929993,211.160004,208.220001,211.050003,522300,205.828766
"AAP",2021-07-06,210.399994,210.550003,206.470001,208.699997,540600,203.536896
"AAP",2021-07-07,207.429993,209.770004,206.600006,209.440002,689600,204.258621
"AAP",2021-07-08,206.869995,209.699997,205.460007,207.509995,661100,202.376343
"AAP",2021-07-09,213.050003,213.679993,210,213.470001,653900,208.188904
"AAP",2021-07-12,212.440002,213.940002,211.160004,211.929993,379700,206.686981
"AAP",2021-07-13,211.039993,212.130005,208.820007,208.970001,689000,203.800232
"AAP",2021-07-14,210.050003,210.830002,208.5,210.160004,619500,204.9608
"AAP",2021-07-15,208.399994,210.539993,207.570007,209.25,547200,204.073303
"AAP",2021-07-16,210.130005,210.509995,205.649994,205.850006,467800,200.757416
"AAP",2021-07-19,203.050003,206.380005,202.639999,205.669998,602400,200.581863
"AAP",2021-07-20,206.699997,211.550003,206.089996,210.229996,477400,205.029053
"AAP",2021-07-21,211.059998,212.210007,209.080002,209.399994,620400,204.219574
"AAP",2021-07-22,209.860001,210.610001,207.679993,210.289993,450400,205.087555
"AAP",2021-07-23,210.580002,215.089996,210.580002,214.949997,360300,209.632294
"AAP",2021-07-26,214.880005,215.720001,212.949997,214.089996,419400,208.793564
"AAP",2021-07-27,217.690002,217.690002,212.419998,215.369995,703100,210.041901
"AAP",2021-07-28,215.690002,216.550003,212.070007,212.25,496400,206.999084
"AAP",2021-07-29,213.210007,213.649994,211.289993,213.389999,452700,208.11087
"AAP",2021-07-30,213.470001,215.919998,211.899994,212.059998,434600,206.813782
"AAP",2021-08-02,213.190002,213.919998,210.399994,212.710007,515000,207.447708
"AAP",2021-08-03,213.100006,217.660004,211.809998,215.399994,441700,210.071167
"AAP",2021-08-04,214.130005,215.139999,209.449997,209.669998,495200,204.48291
"AAP",2021-08-05,210.679993,211.940002,205.130005,206.339996,826000,201.235291
"AAP",2021-08-06,207.399994,207.940002,204.990005,205.720001,521400,200.63063
"AAP",2021-08-09,205.080002,205.649994,204.190002,204.520004,512700,199.460327
"AAP",2021-08-10,204.210007,209.389999,204.210007,208.740005,408200,203.575912
"AAP",2021-08-11,209.210007,211.979996,208.369995,211.210007,438300,205.984802
"AAP",2021-08-12,212.009995,212.309998,208.220001,209.300003,390400,204.12207
"AAP",2021-08-13,209.649994,209.789993,206.360001,206.429993,455500,201.323059
"AAP",2021-08-16,205.5,212.320007,204.619995,212.259995,590800,207.008835
"AAP",2021-08-17,210.330002,210.479996,206.080002,207.770004,513700,202.629929
"AAP",2021-08-18,207.679993,209.970001,207.080002,207.619995,409300,202.483627
"AAP",2021-08-19,205.860001,209.720001,205.529999,208.369995,380700,203.215073
"AAP",2021-08-20,208.520004,209.949997,206.789993,209.679993,511500,204.492661
"AAP",2021-08-23,210.449997,211.199997,207.639999,207.770004,1122300,202.629929
"AAP",2021-08-24,206.600006,214.669998,205.029999,207.779999,1473200,202.639664
"AAP",2021-08-25,209.470001,212.600006,207.929993,212.240005,1032100,206.989334
"AAP",2021-08-26,211.639999,212,208,208.820007,679000,203.653946
"AAP",2021-08-27,203.789993,206.619995,203.009995,203.820007,675100,198.777649
"AAP",2021-08-30,204,204.339996,201.059998,201.139999,549400,196.16394
"AAP",2021-08-31,201.25,203.800003,200.289993,202.850006,660400,197.83165
"AAP",2021-09-01,203.800003,204.589996,199.990005,201.880005,615600,196.885635
"AAP",2021-09-02,202.520004,202.520004,200.050003,200.809998,492000,195.842102
"AAP",2021-09-03,199.679993,201.350006,197.699997,199.440002,699400,194.505981
"AAP",2021-09-07,198.600006,201.369995,197.860001,199.809998,574700,194.866852
"AAP",2021-09-08,200.25,200.509995,198.149994,200.179993,573000,195.227676
"AAP",2021-09-09,200.710007,202.740005,199.899994,201.220001,631200,196.241974
"AAP",2021-09-10,202.190002,203,199.910004,200.029999,359800,195.08139
"AAP",2021-09-13,201.410004,201.940002,197.5,199.259995,542400,194.330444
"AAP",2021-09-14,200.029999,201.240005,197.889999,201.169998,471500,196.193176
"AAP",2021-09-15,201.339996,206.660004,200.330002,206.210007,528300,201.108505
"AAP",2021-09-16,206.080002,208.779999,205.300003,207.690002,518900,203.538956
"AAP",2021-09-17,207.210007,208.339996,205.070007,205.800003,667200,201.686722
"AAP",2021-09-20,203.009995,204.740005,200.779999,203.710007,444100,199.638489
"AAP",2021-09-21,206.509995,206.809998,204.110001,205.660004,585200,201.549515
"AAP",2021-09-22,206.330002,212.429993,206.229996,211.210007,881400,206.988586
"AAP",2021-09-23,211.869995,215.699997,211.869995,214.089996,496400,209.81102
"AAP",2021-09-24,213.889999,215.910004,213.759995,215.660004,464300,211.34964
"AAP",2021-09-27,216.850006,220.119995,216.789993,218.460007,571600,214.093689
"AAP",2021-09-28,218.25,219.429993,214.270004,214.779999,686800,210.487228
"AAP",2021-09-29,216.130005,218.039993,214.580002,216.770004,740200,212.437485
"AAP",2021-09-30,216.029999,216.029999,208.759995,208.889999,864200,204.714951
"AAP",2021-10-01,209.529999,209.880005,205.259995,208,642400,203.842743
"AAP",2021-10-04,207.259995,209.369995,205.800003,207.169998,568800,203.029343
"AAP",2021-10-05,208.320007,211.240005,206.490005,209.020004,460700,204.842377
"AAP",2021-10-06,207.630005,211.830002,206.330002,211.300003,512600,207.076797
"AAP",2021-10-07,212.339996,214.929993,212.339996,214.5,321400,210.21283
"AAP",2021-10-08,213.759995,215.300003,213.080002,214.149994,351500,209.869827
"AAP",2021-10-11,214,215.669998,211.960007,212.119995,418500,207.880402
"AAP",2021-10-12,213.070007,213.600006,210.610001,212.009995,521500,207.772583
"AAP",2021-10-13,212.259995,213.240005,205.5,210.320007,920700,206.116379
"AAP",2021-10-14,211.199997,216.179993,210.320007,214.860001,385400,210.565643
"AAP",2021-10-15,216.669998,218.820007,215.419998,215.429993,357200,211.124237
"AAP",2021-10-18,216.300003,223.520004,215.690002,222.520004,778800,218.072556
"AAP",2021-10-19,224.039993,225.589996,222.240005,224.139999,721100,219.660156
"AAP",2021-10-20,224.289993,229.240005,224.289993,226.660004,442200,222.129791
"AAP",2021-10-21,227.119995,233.710007,227.119995,233.710007,648300,229.038895
"AAP",2021-10-22,233.850006,235.320007,230.850006,231.970001,798900,227.333664
"AAP",2021-10-25,232.309998,233.360001,228.630005,230.130005,589400,225.530457
"AAP",2021-10-26,231.160004,233.529999,229.169998,232.559998,397100,227.911865
"AAP",2021-10-27,232.630005,233.800003,230.339996,230.350006,485800,225.746048
"AAP",2021-10-28,230.279999,231.820007,220.929993,225,1090500,220.502975
"AAP",2021-10-29,224.919998,228.339996,223.759995,225.520004,586700,221.012589
"AAP",2021-11-01,226.289993,228.009995,223.460007,225.110001,733800,220.610764
"AAP",2021-11-02,225.089996,228.559998,224.5,226.770004,397400,222.237595
"AAP",2021-11-03,226.720001,232,226.720001,230.960007,635300,226.343872
"AAP",2021-11-04,231.009995,232.699997,228.809998,230.089996,543100,225.491241
"AAP",2021-11-05,231.220001,232.119995,228.089996,229.729996,491800,225.138412
"AAP",2021-11-08,229.550003,230.300003,224.559998,227.910004,486700,223.354797
"AAP",2021-11-09,228.009995,233.589996,228.009995,232.389999,587800,227.74527
"AAP",2021-11-10,233.330002,236.050003,232.470001,234.770004,457700,230.077713
"AAP",2021-11-11,234.330002,240.960007,234.330002,238.449997,771200,233.684158
"AAP",2021-11-12,239.389999,240.089996,237.199997,239.039993,775700,234.26236
"AAP",2021-11-15,240.020004,243.050003,239.5,241.910004,1085400,237.075012
"AAP",2021-11-16,238.779999,239.910004,230.270004,235.690002,1585200,230.979309
"AAP",2021-11-17,237.300003,239.720001,231.389999,232.550003,771300,227.902069
"AAP",2021-11-18,232.550003,233.169998,229,231.919998,663600,227.284668
"AAP",2021-11-19,231.669998,231.880005,228.270004,230,574400,225.403046
"AAP",2021-11-22,231.210007,233.889999,229.649994,231.830002,544900,227.196457
"AAP",2021-11-23,232.509995,235.990005,230.309998,235.770004,405300,231.057709
"AAP",2021-11-24,233.600006,234.559998,232.160004,233.369995,361000,228.705688
"AAP",2021-11-26,229.419998,229.570007,225.070007,226.729996,334100,222.198395
"AAP",2021-11-29,228.360001,230.190002,226.369995,227.270004,376800,222.727615
"AAP",2021-11-30,225.600006,228.169998,220,220.720001,918000,216.308502
"AAP",2021-12-01,223.639999,226.979996,218.220001,218.229996,649600,213.868286
"AAP",2021-12-02,220.270004,230,219.119995,228.759995,838300,224.18782
"AAP",2021-12-03,229.169998,231.690002,225.320007,226.860001,543800,222.32579
"AAP",2021-12-06,229.990005,233.339996,229,230.020004,657900,225.422638
"AAP",2021-12-07,231.880005,236.75,231.190002,234.949997,762000,230.25412
"AAP",2021-12-08,234.679993,235.589996,229.990005,234.029999,665600,229.352493
"AAP",2021-12-09,234.429993,236.490005,232.75,234.619995,551000,229.93071
"AAP",2021-12-10,235.419998,240.240005,234.839996,240.039993,716800,235.242355
"AAP",2021-12-13,239.75,240,232.979996,234.119995,913400,229.440689
"AAP",2021-12-14,234.169998,236.309998,233.149994,235.389999,791600,230.685303
"AAP",2021-12-15,235.389999,239.649994,234.559998,239.139999,535700,234.360367
"AAP",2021-12-16,239.729996,242.289993,236.639999,239.160004,820100,235.364166
"AAP",2021-12-17,237.919998,237.919998,231.759995,232.820007,1544500,229.124802
"AAP",2021-12-20,230.279999,230.279999,224.220001,228.389999,643000,224.765091
"AAP",2021-12-21,229.889999,231.199997,227.779999,229.570007,498300,225.926376
"AAP",2021-12-22,229.899994,233.100006,228.949997,232.789993,270100,229.095261
"AAP",2021-12-23,234,234.410004,232,232.130005,492800,228.44574
"AAP",2021-12-27,233.369995,236.740005,232.210007,236.5,347600,232.746384
"AAP",2021-12-28,236.029999,238.990005,234.899994,238.130005,601200,234.35051
"AAP",2021-12-29,238.940002,242.199997,238.369995,241.029999,510400,237.204483
"AAP",2021-12-30,241.139999,241.990005,237.470001,237.520004,569400,233.750198
"AAP",2021-12-31,237,240.970001,235.220001,239.880005,676100,236.072739
"AAP",2022-01-03,240.639999,242.149994,234.869995,236.779999,899800,233.021942
"AAP",2022-01-04,236.789993,240.020004,236.520004,237.050003,736900,233.287659
"AAP",2022-01-05,237.449997,244.550003,236.350006,236.449997,711700,232.697174
"AAP",2022-01-06,237.850006,242.360001,236.559998,241.649994,602500,237.814636
"AAP",2022-01-07,239.960007,242.149994,237.320007,238.089996,553600,234.311142
"AAP",2022-01-10,237,237,231.259995,234.130005,591100,230.414001
"AAP",2022-01-11,234.639999,234.809998,230.570007,232.009995,638800,228.327637
"AAP",2022-01-12,233.559998,238.039993,233.259995,237.529999,517300,233.760025
"AAP",2022-01-13,241.160004,244.199997,240.320007,241.320007,642700,237.489883
"AAP",2022-01-14,238.979996,241.919998,237.520004,239.600006,391000,235.797195
"AAP",2022-01-18,238.169998,239.419998,234.369995,237.910004,1077300,234.134003
"AAP",2022-01-19,239.779999,242.960007,234.100006,234.339996,607300,230.620651
"AAP",2022-01-20,236.270004,237.529999,228.570007,229.330002,525000,225.690186
"AAP",2022-01-21,229.300003,230.550003,224.940002,226.149994,660500,222.560638
"AAP",2022-01-24,221.479996,233.240005,221.479996,232.809998,767200,229.114944
"AAP",2022-01-25,229.679993,232.5,226.240005,230.179993,520400,226.526688
"AAP",2022-01-26,232.190002,232.300003,223.789993,225.119995,645300,221.546997
"AAP",2022-01-27,227.660004,229.679993,224.940002,225.110001,558500,221.537155
"AAP",2022-01-28,223.770004,228.350006,222.309998,228.220001,533700,224.597809
"AAP",2022-01-31,226.729996,231.919998,226,231.509995,796000,227.835571
"AAP",2022-02-01,231.110001,235.350006,229.210007,234.800003,487500,231.07338
"AAP",2022-02-02,235.449997,237.389999,232.410004,236.679993,647300,232.923523
"AAP",2022-02-03,235.990005,235.990005,232.169998,232.490005,521500,228.800034
"AAP",2022-02-04,231.529999,231.630005,223.339996,226.990005,689100,223.387329
"AAP",2022-02-07,228.440002,228.970001,223.929993,225.940002,709900,222.353989
"AAP",2022-02-08,226.699997,231.570007,226.059998,230.199997,564100,226.546371
"AAP",2022-02-09,231.919998,234.229996,230.419998,232.179993,523500,228.494949
"AAP",2022-02-10,223.119995,229.320007,221.360001,222.729996,1905100,219.194931
"AAP",2022-02-11,224.580002,226.880005,221.089996,222.940002,1001500,219.401611
"AAP",2022-02-14,222.990005,225.839996,220.080002,224.279999,1495100,220.720337
"AAP",2022-02-15,216.380005,225.25,214.399994,222.600006,2268000,219.067001
"AAP",2022-02-16,221.270004,225.779999,218.880005,222.389999,1182700,218.860321
"AAP",2022-02-17,222.369995,223.009995,219.690002,220.410004,983900,216.911758
"AAP",2022-02-18,219.839996,221.5,217.080002,218.800003,933500,215.327316
"AAP",2022-02-22,217.899994,217.949997,204.970001,206.759995,1313300,203.478394
"AAP",2022-02-23,207.800003,208.100006,195.75,196.800003,1494000,193.676483
"AAP",2022-02-24,192.130005,202.039993,190.789993,200.809998,1265800,197.622833
"AAP",2022-02-25,201.899994,206.169998,200.009995,205.570007,693500,202.307297
"AAP",2022-02-28,202,204.820007,200.029999,204.479996,1040400,201.234573
"AAP",2022-03-01,204.229996,209.649994,198.449997,201.169998,1051100,197.977112
