"symbol","date","open","high","low","close","volume","adjusted"
"RCL",2020-06-17,59.009998,60.240002,56.759998,58.029999,21778900,58.029999
"RCL",2020-06-18,56.549999,61.689999,56.209999,59.349998,21486000,59.349998
"RCL",2020-06-19,60.959999,61.119999,54.720001,55.27,24765400,55.27
"RCL",2020-06-22,53.5,54.139999,50.349998,51.860001,26221000,51.860001
"RCL",2020-06-23,52.619999,54.599998,51.349998,54.360001,18591800,54.360001
"RCL",2020-06-24,51.900002,52.459999,46.52,48.240002,26872900,48.240002
"RCL",2020-06-25,45.349998,49.189999,45.25,48.580002,21698800,48.580002
"RCL",2020-06-26,48.619999,48.91,45.43,46.41,14396000,46.41
"RCL",2020-06-29,46.09,50.490002,45.060001,50.299999,17409100,50.299999
"RCL",2020-06-30,49.599998,50.77,47.779999,50.299999,14819000,50.299999
"RCL",2020-07-01,51.990002,55.619999,50.450001,50.830002,17917100,50.830002
"RCL",2020-07-02,52.970001,53.619999,49.360001,49.509998,13823700,49.509998
"RCL",2020-07-06,50.290001,51.490002,47.889999,50.02,13304500,50.02
"RCL",2020-07-07,48.91,49.75,47.419998,47.560001,9986200,47.560001
"RCL",2020-07-08,46.970001,50.43,46.509998,50.07,12332700,50.07
"RCL",2020-07-09,50.919998,51.099998,46.549999,47.119999,13952500,47.119999
"RCL",2020-07-10,47.029999,51.950001,46.130001,51.77,20560000,51.77
"RCL",2020-07-13,52.09,52.900002,49.360001,49.540001,13636900,49.540001
"RCL",2020-07-14,48.720001,48.720001,47.139999,48.150002,10562700,48.150002
"RCL",2020-07-15,51.490002,58.68,51.349998,58.360001,33940100,58.360001
"RCL",2020-07-16,55.41,56.150002,53.75,53.939999,16256700,53.939999
"RCL",2020-07-17,52.110001,54.369999,51.5,53.139999,10959700,53.139999
"RCL",2020-07-20,53.82,54.779999,51.970001,52.400002,7672500,52.400002
"RCL",2020-07-21,52.900002,53.959999,51.959999,52.799999,8713200,52.799999
"RCL",2020-07-22,52.060001,52.66,51.380001,51.450001,7258700,51.450001
"RCL",2020-07-23,50.5,51.43,49.400002,50.450001,11370100,50.450001
"RCL",2020-07-24,50,52.419998,49.599998,50.830002,7006500,50.830002
"RCL",2020-07-27,50.580002,50.59,48.220001,49.299999,7319600,49.299999
"RCL",2020-07-28,49.349998,51.990002,49.25,50.830002,10081400,50.830002
"RCL",2020-07-29,51.16,51.439999,49.619999,51,4947500,51
"RCL",2020-07-30,50.200001,50.689999,49.099998,50.299999,5437600,50.299999
"RCL",2020-07-31,50.02,50.299999,47.880001,48.709999,7490700,48.709999
"RCL",2020-08-03,47.580002,47.950001,45.709999,47.389999,9292700,47.389999
"RCL",2020-08-04,47.259998,50.09,47.150002,49.130001,7519900,49.130001
"RCL",2020-08-05,50.560001,50.849998,48.380001,49.529999,9849900,49.529999
"RCL",2020-08-06,48.900002,51.580002,48.549999,51.099998,8729700,51.099998
"RCL",2020-08-07,50.709999,52.330002,49.459999,52.099998,8397400,52.099998
"RCL",2020-08-10,51.110001,58.259998,51.110001,57.310001,19738000,57.310001
"RCL",2020-08-11,61.48,62.189999,58.290001,58.669998,18211800,58.669998
"RCL",2020-08-12,60.52,60.77,55.029999,57.189999,12710500,57.189999
"RCL",2020-08-13,56.709999,59.650002,56.389999,58.5,8594100,58.5
"RCL",2020-08-14,57.93,60.75,57.599998,60.5,9203400,60.5
"RCL",2020-08-17,60.349998,60.549999,58.560001,60.290001,8097400,60.290001
"RCL",2020-08-18,60,60.580002,58.709999,60.400002,7827000,60.400002
"RCL",2020-08-19,60.209999,64.150002,60.040001,61.09,10438600,61.09
"RCL",2020-08-20,59.959999,61.759998,59.27,61.529999,5405900,61.529999
"RCL",2020-08-21,61.509998,63.029999,61.290001,61.529999,5980700,61.529999
"RCL",2020-08-24,63.040001,65.199997,61.200001,64.43,12221500,64.43
"RCL",2020-08-25,64.580002,65.089996,62.700001,64.07,7931400,64.07
"RCL",2020-08-26,63.720001,64.080002,61.889999,62.84,5710300,62.84
"RCL",2020-08-27,64.040001,67.57,63.970001,66.599998,9902900,66.599998
"RCL",2020-08-28,67.809998,71.25,66.639999,70.120003,13883000,70.120003
"RCL",2020-08-31,70.129997,71.550003,68.199997,68.839996,8218300,68.839996
"RCL",2020-09-01,66.989998,69.169998,65.669998,68.510002,6146000,68.510002
"RCL",2020-09-02,69.18,69.18,66.730003,68.370003,6132200,68.370003
"RCL",2020-09-03,71.099998,74.440002,68.93,70.199997,12987800,70.199997
"RCL",2020-09-04,72.470001,73.120003,68.580002,71.949997,7898800,71.949997
"RCL",2020-09-08,70.019997,73.5,69.550003,71.510002,7383800,71.510002
"RCL",2020-09-09,70.620003,70.800003,67.610001,70.110001,6760600,70.110001
"RCL",2020-09-10,70.730003,74.07,70.089996,70.139999,6334400,70.139999
"RCL",2020-09-11,70.489998,70.580002,68.150002,69.339996,4109400,69.339996
"RCL",2020-09-14,70.330002,71.18,69.360001,70.940002,4715900,70.940002
"RCL",2020-09-15,70.690002,70.839996,66.940002,67.690002,8654800,67.690002
"RCL",2020-09-16,67.690002,71.25,67,69.610001,6676100,69.610001
"RCL",2020-09-17,68.050003,70.419998,67.510002,68.75,5638300,68.75
"RCL",2020-09-18,68.5,69.080002,64.519997,65.449997,9855000,65.449997
"RCL",2020-09-21,62.09,62.619999,59.119999,60.709999,8709800,60.709999
"RCL",2020-09-22,61,63.060001,60.66,62.369999,5057600,62.369999
"RCL",2020-09-23,63.02,65.099998,61.169998,61.240002,5252900,61.240002
"RCL",2020-09-24,60.639999,61.240002,58.27,59.970001,6456400,59.970001
"RCL",2020-09-25,63.220001,64.910004,61.779999,64.589996,7922100,64.589996
"RCL",2020-09-28,66.129997,66.830002,63.32,66.089996,5677500,66.089996
"RCL",2020-09-29,65.860001,66.230003,63.509998,64.400002,4396300,64.400002
"RCL",2020-09-30,66.470001,68.209999,64.18,64.730003,7994700,64.730003
"RCL",2020-10-01,65.150002,65.919998,63.57,65.550003,5432000,65.550003
"RCL",2020-10-02,62.5,65.760002,62.299999,65.260002,4949000,65.260002
"RCL",2020-10-05,65,66.099998,64.5,65.25,3575800,65.25
"RCL",2020-10-06,66,69.910004,65.769997,66.18,7355400,66.18
"RCL",2020-10-07,67.470001,68.639999,66.099998,68.019997,4551400,68.019997
"RCL",2020-10-08,68.809998,69.360001,67.25,69.290001,4740300,69.290001
"RCL",2020-10-09,69.400002,72.110001,68.800003,71.089996,6369900,71.089996
"RCL",2020-10-12,70.360001,70.730003,69.18,69.830002,4336100,69.830002
"RCL",2020-10-13,64.190002,64.639999,60.029999,60.610001,23821400,60.610001
"RCL",2020-10-14,61.349998,62.48,59.639999,59.91,18061300,59.91
"RCL",2020-10-15,58.669998,59.549999,57.849998,59.380001,7955200,59.380001
"RCL",2020-10-16,59.490002,59.98,57.900002,58.830002,6332200,58.830002
"RCL",2020-10-19,59.52,60.869999,58.77,59.709999,6251900,59.709999
"RCL",2020-10-20,60.799999,62.040001,60.02,61.790001,6258700,61.790001
"RCL",2020-10-21,61.560001,61.57,60.02,60.689999,3869300,60.689999
"RCL",2020-10-22,61.099998,63.459999,61.080002,63.389999,6314300,63.389999
"RCL",2020-10-23,63.91,64.769997,62.880001,64.480003,5040600,64.480003
"RCL",2020-10-26,62.220001,62.27,55.810001,58.259998,12161300,58.259998
"RCL",2020-10-27,58.09,59.41,57.279999,57.380001,5285500,57.380001
"RCL",2020-10-28,55.130001,55.610001,53.060001,53.119999,9382600,53.119999
"RCL",2020-10-29,53.02,54.369999,51.330002,53.830002,8947300,53.830002
"RCL",2020-10-30,52.970001,57.799999,51.369999,56.419998,17043800,56.419998
"RCL",2020-11-02,55,57.099998,53.849998,57.02,7320100,57.02
"RCL",2020-11-03,56.900002,58.650002,56.34,57.57,4837500,57.57
"RCL",2020-11-04,57.209999,58.610001,56.400002,56.98,3503500,56.98
"RCL",2020-11-05,57.77,60.32,57.630001,60.169998,4516500,60.169998
"RCL",2020-11-06,59.810001,59.98,58.200001,58.57,4250900,58.57
"RCL",2020-11-09,73.269997,78.860001,71.239998,75.43,27736800,75.43
"RCL",2020-11-10,74.029999,74.629997,71.360001,73.730003,11446100,73.730003
"RCL",2020-11-11,73.809998,73.919998,69.699997,70.879997,10404000,70.879997
"RCL",2020-11-12,68.07,71.120003,67.669998,68.099998,6968100,68.099998
"RCL",2020-11-13,69.349998,71.129997,68.650002,70.610001,4567000,70.610001
"RCL",2020-11-16,75.790001,77.230003,74.019997,75.5,12110100,75.5
"RCL",2020-11-17,74.610001,76.739998,73.739998,75.339996,5924500,75.339996
"RCL",2020-11-18,74.110001,76.489998,74.050003,74.129997,5810000,74.129997
"RCL",2020-11-19,73.849998,75.050003,73.220001,74.440002,3532400,74.440002
"RCL",2020-11-20,74.720001,75.139999,72.529999,72.580002,4593000,72.580002
"RCL",2020-11-23,73.559998,76.449997,73.559998,75.779999,4973100,75.779999
"RCL",2020-11-24,79.129997,82.589996,78.339996,81.629997,8096200,81.629997
"RCL",2020-11-25,80.449997,81.629997,79.470001,80.080002,5114000,80.080002
"RCL",2020-11-27,80.580002,82.150002,80.43,81.480003,2194300,81.480003
"RCL",2020-11-30,82,82,77.699997,78.809998,5833900,78.809998
"RCL",2020-12-01,80,80.68,78.150002,78.290001,3469200,78.290001
"RCL",2020-12-02,77.360001,81.370003,75.970001,80.639999,3845200,80.639999
"RCL",2020-12-03,81.239998,85.099998,81.019997,84.400002,5937600,84.400002
"RCL",2020-12-04,83,83.75,80.43,82.730003,8543100,82.730003
"RCL",2020-12-07,82.25,82.440002,80.300003,81.620003,5566400,81.620003
"RCL",2020-12-08,80.669998,83.849998,80.510002,82.830002,4374300,82.830002
"RCL",2020-12-09,83.910004,84.970001,80.870003,82.370003,6767500,82.370003
"RCL",2020-12-10,80.75,82.620003,80.349998,80.639999,4513000,80.639999
"RCL",2020-12-11,80.989998,81.459999,76.260002,76.459999,6149100,76.459999
"RCL",2020-12-14,78.809998,79.43,73.949997,74.059998,6263400,74.059998
"RCL",2020-12-15,74.650002,74.709999,70.75,74.050003,7261100,74.050003
"RCL",2020-12-16,74.059998,74.639999,72.349998,73.650002,3570000,73.650002
"RCL",2020-12-17,74.019997,74.480003,72.610001,73.940002,3298300,73.940002
"RCL",2020-12-18,73.739998,74.489998,71.580002,72.290001,4961400,72.290001
"RCL",2020-12-21,69.010002,72.239998,68.75,71.82,4991100,71.82
"RCL",2020-12-22,71.82,71.879997,68.57,69.690002,4562300,69.690002
"RCL",2020-12-23,70.150002,72.870003,70.110001,71.419998,3764200,71.419998
"RCL",2020-12-24,71.75,71.849998,70.07,70.660004,1712400,70.660004
"RCL",2020-12-28,71.900002,73.989998,71.199997,72.889999,3917600,72.889999
"RCL",2020-12-29,74.059998,74.400002,70.860001,71.599998,3461300,71.599998
"RCL",2020-12-30,71.599998,74.07,71.190002,73.75,4429400,73.75
"RCL",2020-12-31,73.5,75.75,71.199997,74.690002,6275500,74.690002
"RCL",2021-01-04,74.800003,75.239998,69.889999,70.720001,5732800,70.720001
"RCL",2021-01-05,70.5,73.269997,70.43,72.550003,4029500,72.550003
"RCL",2021-01-06,72.699997,74.07,71.139999,72.199997,3612500,72.199997
"RCL",2021-01-07,72.639999,75.440002,72.639999,73.980003,3993700,73.980003
"RCL",2021-01-08,74.910004,75.489998,71.959999,72.970001,3104200,72.970001
"RCL",2021-01-11,71.300003,73.099998,70.849998,72.120003,2723400,72.120003
"RCL",2021-01-12,72.139999,72.709999,70.809998,72.470001,2763100,72.470001
"RCL",2021-01-13,71.779999,72.510002,70.769997,72.25,2772100,72.25
"RCL",2021-01-14,73.589996,76.529999,73.370003,75.839996,5228200,75.839996
"RCL",2021-01-15,75.040001,76.290001,72.870003,72.919998,3125000,72.919998
"RCL",2021-01-19,74,74.669998,72.459999,73.480003,2505600,73.480003
"RCL",2021-01-20,74.040001,75.160004,72.269997,72.82,2432300,72.82
"RCL",2021-01-21,72.5,73.510002,71.019997,72.660004,3098400,72.660004
"RCL",2021-01-22,71.669998,72.279999,70.660004,71.959999,2636600,71.959999
"RCL",2021-01-25,70.730003,70.860001,66.910004,68.419998,7703000,68.419998
"RCL",2021-01-26,69,69.089996,66.480003,66.5,4754600,66.5
"RCL",2021-01-27,65.43,68.529999,64.339996,66.18,4557600,66.18
"RCL",2021-01-28,69.290001,70.580002,67.449997,69.050003,5089900,69.050003
"RCL",2021-01-29,68.650002,69.330002,64.260002,65,5937800,65
"RCL",2021-02-01,65.949997,66.550003,64.660004,65.75,3547900,65.75
"RCL",2021-02-02,67.169998,68.910004,65.839996,68.68,3839200,68.68
"RCL",2021-02-03,69,70.029999,68.309998,69.419998,2907700,69.419998
"RCL",2021-02-04,70.400002,71.870003,69.879997,70.839996,3588800,70.839996
"RCL",2021-02-05,71.669998,72.989998,71.029999,71.580002,3131300,71.580002
"RCL",2021-02-08,72.5,72.5,70.580002,70.699997,2701200,70.699997
"RCL",2021-02-09,70.75,70.75,68.309998,68.889999,3017000,68.889999
"RCL",2021-02-10,69.25,70.690002,68.540001,68.769997,4418300,68.769997
"RCL",2021-02-11,69,69.830002,67.410004,67.989998,3277700,67.989998
"RCL",2021-02-12,66.660004,68.300003,66.650002,67.629997,3173500,67.629997
"RCL",2021-02-16,69,74.760002,68.379997,74.199997,9398900,74.199997
"RCL",2021-02-17,73.360001,76.650002,72.489998,75.110001,5978000,75.110001
"RCL",2021-02-18,74.309998,75.980003,72.900002,75.120003,3583600,75.120003
"RCL",2021-02-19,76.620003,79.730003,76.5,78.870003,5659900,78.870003
"RCL",2021-02-22,79.57,88.75,79.010002,86.230003,15159300,86.230003
"RCL",2021-02-23,87.309998,90.470001,82.769997,90.050003,10128200,90.050003
"RCL",2021-02-24,91.669998,97.080002,91.620003,96.660004,9811100,96.660004
"RCL",2021-02-25,98.010002,99.239998,88.510002,91.629997,10355800,91.629997
"RCL",2021-02-26,91,94.230003,89.269997,93.269997,5564400,93.269997
"RCL",2021-03-01,92.779999,93.120003,89.709999,91.349998,14470200,91.349998
"RCL",2021-03-02,92.699997,95.5,91.989998,93.620003,19538300,93.620003
"RCL",2021-03-03,94.029999,97.360001,93.93,94.480003,8771600,94.480003
"RCL",2021-03-04,96.139999,96.379997,87.889999,91.610001,6512100,91.610001
"RCL",2021-03-05,89.910004,90.550003,80.550003,86.510002,9546100,86.510002
"RCL",2021-03-08,87.989998,89.610001,85.239998,87.910004,4828500,87.910004
"RCL",2021-03-09,89,90.25,85.400002,89.559998,3774800,89.559998
"RCL",2021-03-10,90,92.089996,86.459999,87.32,5553700,87.32
"RCL",2021-03-11,88.559998,89.669998,86.300003,87.989998,4751600,87.989998
"RCL",2021-03-12,87.730003,90.32,87.650002,90.220001,3922600,90.220001
"RCL",2021-03-15,92.25,96.900002,92,94.550003,7997300,94.550003
"RCL",2021-03-16,93.510002,94,88.339996,89.519997,5421100,89.519997
"RCL",2021-03-17,89.559998,91.449997,87.919998,91.449997,3985800,91.449997
"RCL",2021-03-18,91.629997,92.160004,88.220001,88.410004,4037300,88.410004
"RCL",2021-03-19,88.760002,91.040001,86.529999,90.720001,6079500,90.720001
"RCL",2021-03-22,89.459999,90.260002,87.849998,88.900002,3828000,88.900002
"RCL",2021-03-23,87.389999,88.059998,83.040001,83.900002,6076400,83.900002
"RCL",2021-03-24,86,89.099998,80.559998,81.580002,8644500,81.580002
"RCL",2021-03-25,80,84.25,78.860001,83.449997,4898100,83.449997
"RCL",2021-03-26,84.959999,86.330002,81.68,84.559998,3321400,84.559998
"RCL",2021-03-29,84.650002,85.199997,81.599998,82.870003,2536100,82.870003
"RCL",2021-03-30,83.139999,85.970001,83.059998,85.349998,2715700,85.349998
"RCL",2021-03-31,85.129997,86.839996,84.440002,85.610001,3189700,85.610001
"RCL",2021-04-01,86.5,87.82,85.480003,86.669998,2397600,86.669998
"RCL",2021-04-05,89.440002,91.300003,88.720001,89.150002,4770900,89.150002
"RCL",2021-04-06,89.150002,92.300003,88.580002,90.760002,3563100,90.760002
"RCL",2021-04-07,93,95.300003,90.900002,91.040001,5531500,91.040001
"RCL",2021-04-08,90.93,90.93,87.43,89.790001,4802300,89.790001
"RCL",2021-04-09,89.379997,90.470001,88.669998,89.879997,2348800,89.879997
"RCL",2021-04-12,89.029999,89.029999,85.730003,87.059998,3545300,87.059998
"RCL",2021-04-13,84.879997,86.849998,83.599998,86.529999,3996000,86.529999
"RCL",2021-04-14,86.75,88.730003,86.360001,86.529999,2276300,86.529999
"RCL",2021-04-15,87.07,87.080002,83.849998,84.5,3444500,84.5
"RCL",2021-04-16,85.230003,86.82,84.699997,85.389999,2459100,85.389999
"RCL",2021-04-19,85.120003,85.739998,83.410004,83.779999,2564200,83.779999
"RCL",2021-04-20,83,83.010002,79.029999,81.07,4626900,81.07
"RCL",2021-04-21,81.150002,84.720001,80.050003,84.690002,3265900,84.690002
"RCL",2021-04-22,84.400002,86.550003,83.610001,84.18,2982200,84.18
"RCL",2021-04-23,84.650002,85.959999,83.279999,85.809998,2512100,85.809998
"RCL",2021-04-26,87.400002,88.839996,86.669998,86.940002,2229500,86.940002
"RCL",2021-04-27,87.010002,88.220001,85.82,87.629997,2112200,87.629997
"RCL",2021-04-28,87.260002,88.43,86.589996,87.470001,1943400,87.470001
"RCL",2021-04-29,90.059998,92.449997,84.720001,84.900002,6561300,84.900002
"RCL",2021-04-30,84.150002,87.470001,83.809998,86.949997,3741200,86.949997
"RCL",2021-05-03,87.459999,88.690002,86.690002,87.910004,2749100,87.910004
"RCL",2021-05-04,87,87.099998,82.93,83.989998,4689900,83.989998
"RCL",2021-05-05,84.080002,84.800003,82.400002,83,3109800,83
"RCL",2021-05-06,83.110001,83.870003,79.019997,80.699997,5478700,80.699997
"RCL",2021-05-07,81.089996,84.559998,80.449997,84.290001,3668900,84.290001
"RCL",2021-05-10,83.900002,84.860001,83.029999,83.93,3584500,83.93
"RCL",2021-05-11,81.379997,82.970001,79.830002,81.279999,3634800,81.279999
"RCL",2021-05-12,80.120003,81,77.800003,78.050003,3686600,78.050003
"RCL",2021-05-13,78.839996,79.989998,76.129997,78.459999,3787800,78.459999
"RCL",2021-05-14,79.709999,84.489998,79.550003,84.269997,4401700,84.269997
"RCL",2021-05-17,84.019997,84.760002,82.709999,84.540001,2397600,84.540001
"RCL",2021-05-18,84.860001,87.269997,83.949997,84.980003,3451600,84.980003
"RCL",2021-05-19,82.559998,84.050003,81.559998,83.989998,2823700,83.989998
"RCL",2021-05-20,84.75,84.970001,82.93,84.660004,3146100,84.660004
"RCL",2021-05-21,85.400002,85.879997,82.68,82.82,3707200,82.82
"RCL",2021-05-24,83.470001,86.110001,82.25,85.870003,4098200,85.870003
"RCL",2021-05-25,87,90.639999,86.989998,89,7172000,89
"RCL",2021-05-26,90.230003,92.559998,89.559998,92.489998,5894000,92.489998
"RCL",2021-05-27,92.879997,95.129997,92.709999,94.760002,5393400,94.760002
"RCL",2021-05-28,94.730003,94.730003,92.129997,93.269997,3786700,93.269997
"RCL",2021-06-01,94.949997,97.540001,94.910004,96.25,3903500,96.25
"RCL",2021-06-02,96.5,97.720001,95.349998,96.980003,3576400,96.980003
"RCL",2021-06-03,96,96.110001,93.919998,94.720001,3449800,94.720001
"RCL",2021-06-04,95.75,95.830002,93.300003,94.07,2721400,94.07
"RCL",2021-06-07,94.620003,96.169998,94.239998,94.480003,3017200,94.480003
"RCL",2021-06-08,94.949997,95.980003,93.940002,94.949997,3253300,94.949997
"RCL",2021-06-09,95.32,95.470001,92.559998,92.790001,2560300,92.790001
"RCL",2021-06-10,93,93.010002,89.589996,90.629997,4126600,90.629997
"RCL",2021-06-11,88.440002,90.730003,88.139999,90.089996,3900100,90.089996
"RCL",2021-06-14,90,90.360001,87.389999,87.949997,3047700,87.949997
"RCL",2021-06-15,88.419998,88.959999,86.690002,86.93,2432900,86.93
"RCL",2021-06-16,87.790001,89.050003,86.949997,88.519997,3330400,88.519997
"RCL",2021-06-17,88.269997,89.82,85.970001,86.410004,3482800,86.410004
"RCL",2021-06-18,85.410004,86.629997,84.5,85.639999,4091200,85.639999
"RCL",2021-06-21,86.209999,87.529999,84.959999,87.400002,2822900,87.400002
"RCL",2021-06-22,86.800003,86.940002,84.519997,85.660004,3118900,85.660004
"RCL",2021-06-23,85.709999,86.830002,85.709999,86.160004,1938500,86.160004
"RCL",2021-06-24,86.989998,88.07,85.970001,86.970001,3585200,86.970001
"RCL",2021-06-25,87.300003,89.889999,86.739998,89.220001,5350300,89.220001
"RCL",2021-06-28,88,88.360001,82.849998,83.449997,9627200,83.449997
"RCL",2021-06-29,83.510002,84.769997,82.43,83,5372500,83
"RCL",2021-06-30,83.43,85.389999,82.800003,85.279999,3732600,85.279999
"RCL",2021-07-01,85.900002,87.099998,85.330002,85.889999,2581700,85.889999
"RCL",2021-07-02,86.360001,86.360001,84.970001,86.040001,2258700,86.040001
"RCL",2021-07-06,87.5,87.82,82.580002,82.970001,4788200,82.970001
"RCL",2021-07-07,82.410004,83.43,80.300003,80.459999,5203700,80.459999
"RCL",2021-07-08,78.449997,80.519997,77.110001,79.449997,4500500,79.449997
"RCL",2021-07-09,80.370003,82.540001,79.790001,82.330002,2876800,82.330002
"RCL",2021-07-12,81.230003,81.989998,80.019997,81.540001,2414900,81.540001
"RCL",2021-07-13,80.489998,80.629997,78.43,78.510002,2888900,78.510002
"RCL",2021-07-14,79,79.900002,75.970001,76.199997,4095400,76.199997
"RCL",2021-07-15,75.099998,75.620003,72.379997,74.209999,6498100,74.209999
"RCL",2021-07-16,75.889999,76.480003,72.019997,72.389999,5115500,72.389999
"RCL",2021-07-19,68.93,70.830002,66.900002,69.510002,10445500,69.510002
"RCL",2021-07-20,69.599998,75.309998,69.349998,74.889999,7762900,74.889999
"RCL",2021-07-21,75.629997,79.160004,75.629997,78.900002,7363200,78.900002
"RCL",2021-07-22,78,78.360001,76.300003,77.760002,4791600,77.760002
"RCL",2021-07-23,78.040001,78.860001,76.959999,77.720001,4575200,77.720001
"RCL",2021-07-26,77.43,80.889999,77.089996,80.879997,4651600,80.879997
"RCL",2021-07-27,79.959999,80.919998,78.989998,80.559998,3946900,80.559998
"RCL",2021-07-28,81.129997,81.769997,78.07,80.089996,2933700,80.089996
"RCL",2021-07-29,80.940002,82.120003,79.93,80.019997,3356200,80.019997
"RCL",2021-07-30,78.730003,79.470001,76.410004,76.870003,5983200,76.870003
"RCL",2021-08-02,76.970001,79.330002,75.080002,75.480003,5211900,75.480003
"RCL",2021-08-03,75.099998,75.169998,71.790001,74.489998,6002300,74.489998
"RCL",2021-08-04,73.150002,74.230003,70.739998,72.650002,7719100,72.650002
"RCL",2021-08-05,72.599998,78.43,72.57,78.099998,6755800,78.099998
"RCL",2021-08-06,78.760002,79.080002,76.519997,78.919998,4235400,78.919998
"RCL",2021-08-09,78.269997,78.459999,75.790001,77.389999,3299800,77.389999
"RCL",2021-08-10,77.639999,81.349998,77.220001,80.75,3798200,80.75
"RCL",2021-08-11,79.849998,82,78.610001,81.790001,4295800,81.790001
"RCL",2021-08-12,81.589996,81.650002,78.849998,80.339996,2603400,80.339996
"RCL",2021-08-13,80.089996,80.389999,78.220001,78.889999,2968900,78.889999
"RCL",2021-08-16,77.959999,78.739998,76.050003,78.43,2678600,78.43
"RCL",2021-08-17,77.050003,77.389999,75.190002,76.019997,2845200,76.019997
"RCL",2021-08-18,75.75,78.589996,74.400002,77.209999,3814100,77.209999
"RCL",2021-08-19,76,76.779999,73.510002,76.5,5516500,76.5
"RCL",2021-08-20,76.18,78.379997,76.010002,78.209999,3815200,78.209999
"RCL",2021-08-23,79.169998,80.970001,78.849998,80.25,4642100,80.25
"RCL",2021-08-24,81,83.540001,81,82.860001,5131000,82.860001
"RCL",2021-08-25,82.949997,84.230003,81.199997,83.410004,3812200,83.410004
"RCL",2021-08-26,82.889999,83.300003,80.18,80.82,3310400,80.82
"RCL",2021-08-27,81.040001,83.699997,80.769997,83.260002,3203900,83.260002
"RCL",2021-08-30,83.709999,83.800003,81.190002,81.889999,2942400,81.889999
"RCL",2021-08-31,81.550003,83.419998,81.449997,82.730003,2923600,82.730003
"RCL",2021-09-01,83.440002,83.790001,81.889999,82.239998,3513900,82.239998
"RCL",2021-09-02,82.610001,83.949997,80.769997,82.93,4047300,82.93
"RCL",2021-09-03,82.510002,82.889999,78.690002,79.43,5111200,79.43
"RCL",2021-09-07,78,81.709999,77.419998,81.449997,4218700,81.449997
"RCL",2021-09-08,81.440002,82.68,79.769997,80.290001,2430600,80.290001
"RCL",2021-09-09,80.150002,82.940002,79.879997,81.650002,2797600,81.650002
"RCL",2021-09-10,82.440002,83.290001,81.470001,81.559998,3082700,81.559998
"RCL",2021-09-13,82.349998,84.690002,80.129997,83.839996,4024300,83.839996
"RCL",2021-09-14,83.540001,84.919998,81.970001,82.419998,2539200,82.419998
"RCL",2021-09-15,82,83.550003,80.730003,83.260002,2192300,83.260002
"RCL",2021-09-16,83.059998,83.75,82.290001,82.540001,2282300,82.540001
"RCL",2021-09-17,82.519997,84.839996,82.519997,83.790001,5422400,83.790001
"RCL",2021-09-20,81.690002,83.379997,80.75,82.959999,3457100,82.959999
"RCL",2021-09-21,83.769997,84.889999,82.230003,82.919998,2975500,82.919998
"RCL",2021-09-22,83.300003,86.190002,83.300003,85.330002,4821200,85.330002
"RCL",2021-09-23,86.629997,89.230003,86.269997,88.160004,5090500,88.160004
"RCL",2021-09-24,88.160004,91.32,87.800003,90.690002,5984100,90.690002
"RCL",2021-09-27,91.959999,95.230003,91.839996,92.410004,6276600,92.410004
"RCL",2021-09-28,92.080002,94.620003,91.68,91.970001,4014400,91.970001
"RCL",2021-09-29,92.449997,92.93,90.150002,90.669998,3248000,90.669998
"RCL",2021-09-30,90.32,90.519997,88.269997,88.949997,3201000,88.949997
"RCL",2021-10-01,92.300003,93.919998,91.43,92.330002,5114400,92.330002
"RCL",2021-10-04,92.029999,93.190002,90.389999,91.059998,3290100,91.059998
"RCL",2021-10-05,91.75,92.550003,90.410004,91.010002,2253100,91.010002
"RCL",2021-10-06,89.330002,90.720001,88.43,90.07,2423200,90.07
"RCL",2021-10-07,90.889999,90.889999,88.529999,88.790001,3003000,88.790001
"RCL",2021-10-08,89.169998,90.050003,87.589996,87.730003,2565700,87.730003
"RCL",2021-10-11,87.510002,88.720001,86.5,87.32,2253300,87.32
"RCL",2021-10-12,87.449997,89.239998,87.029999,88.669998,2997500,88.669998
"RCL",2021-10-13,88.5,88.599998,86.440002,86.730003,2753200,86.730003
"RCL",2021-10-14,87.330002,88.139999,86.739998,86.900002,2070400,86.900002
"RCL",2021-10-15,87.559998,88.599998,86.269997,86.32,3269900,86.32
"RCL",2021-10-18,86.190002,86.620003,84.589996,85.879997,2428800,85.879997
"RCL",2021-10-19,85.980003,85.980003,84.099998,84.470001,2912800,84.470001
"RCL",2021-10-20,84.5,85.419998,83.620003,83.910004,2365800,83.910004
"RCL",2021-10-21,84.110001,84.919998,83.209999,83.730003,1793400,83.730003
"RCL",2021-10-22,83.239998,84.870003,82.860001,84.629997,2315800,84.629997
"RCL",2021-10-25,84.580002,85.599998,84.040001,84.910004,1907100,84.910004
"RCL",2021-10-26,86.269997,86.75,84.379997,84.419998,2231400,84.419998
"RCL",2021-10-27,84.699997,85.129997,83.410004,83.489998,1987700,83.489998
"RCL",2021-10-28,83.410004,84.769997,82.519997,84.25,1895700,84.25
"RCL",2021-10-29,84,86.309998,83.529999,84.43,3366300,84.43
"RCL",2021-11-01,84.43,88.419998,83.949997,88.279999,3315800,88.279999
"RCL",2021-11-02,87.739998,88.559998,86.400002,87.779999,2156700,87.779999
"RCL",2021-11-03,87.169998,90.339996,86.75,89.769997,2829000,89.769997
